2025-04-19 10:20:54,226 - INFO - Cleared existing files for user_id 1
2025-04-19 10:20:54,335 - INFO - Copied DOC-20250403-WA0011.pdf to Uploads\user_1\DOC-20250403-WA0011.pdf
2025-04-19 10:20:54,342 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,344 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,345 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,345 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,346 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,347 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,348 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,350 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,351 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,352 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,353 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,354 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,354 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,355 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,356 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,362 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,363 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,364 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,365 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,366 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,369 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,371 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,375 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,394 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,767 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,768 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,768 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,768 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,768 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,769 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,769 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,769 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,770 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,770 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,770 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,770 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,771 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,771 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,771 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,771 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,772 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,772 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,775 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,776 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,776 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,778 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,779 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,780 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,898 - ERROR - Failed to insert DOC-20250403-WA0011.pdf: 1452 (23000): Cannot add or update a child row: a foreign key constraint fails (`smartfile`.`files`, CONSTRAINT `files_ibfk_1` FOREIGN KEY (`user_id`) REFERENCES `users` (`id`))
2025-04-19 10:20:54,938 - INFO - Copied DOC-20250403-WA0028.pdf to Uploads\user_1\DOC-20250403-WA0028.pdf
2025-04-19 10:20:54,944 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,945 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,946 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,947 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,948 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,950 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,951 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,952 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,954 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,955 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,958 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,961 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,962 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,964 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,965 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,966 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,968 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,969 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,970 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,971 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,976 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,977 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:54,977 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,317 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,318 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,318 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,318 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-04-19 10:20:55,319 - WARNING - CropBox missing from /Page, defaulting to MediaBox
